GCC.FA.Z	GCC.MD.Z	GCC.RD.Z	GCC.AD.Z	BCC.FA.Z	BCC.MD.Z	BCC.RD.Z	BCC.AD.Z	SCC.FA.Z	SCC.MD.Z	SCC.RD.Z	SCC.AD.Z	rALIC.FA.Z	lALIC.FA.Z	rALIC.MD.Z	lALIC.MD.Z	rALIC.RD.Z	lALIC.RD.Z	rALIC.AD.Z	lALIC.AD.Z	rPLIC.FA.Z	lPLIC.FA.Z	rPLIC.MD.Z	lPLIC.MD.Z	rPLIC.RD.Z	lPLIC.RD.Z	rPLIC.AD.Z	lPLIC.AD.Z	rRLIC.FA.Z	lRLIC.FA.Z	rRLIC.MD.Z	lRLIC.MD.Z	rRLIC.RD.Z	lRLIC.RD.Z	rRLIC.AD.Z	lRLIC.AD.Z	rSLF.FA.Z	lSLF.FA.Z	rSLF.MD.Z	lSLF.MD.Z	rSLF.RD.Z	lSLF.RD.Z	rSLF.AD.Z	lSLF.AD.Z
GCC.FA.Z	1	0.62860695454631	0.533641121324239	0.777046390318706	0.905688417060533	0.649160978133033	0.614164354271989	0.767642808147015	0.890441761847443	0.677249271930746	0.650950704175681	0.739285890881295	0.816226153733512	0.819677451786776	0.762998381181103	0.752604972202873	0.745367946126485	0.722214991721586	0.786755215052981	0.793695118451973	0.799355887713608	0.790224385589862	0.766496060939769	0.768724260489396	0.762677816651502	0.75097381174246	0.757230302582389	0.785439989187173	0.802373540544404	0.81159386297188	0.709760294711607	0.7158786832829	0.744282323865088	0.708936748407819	0.681337606847502	0.749062950904169	0.830274123584741	0.842760039964185	0.702799465162155	0.70548028785386	0.684246502208884	0.682098507442572	0.740009008045037	0.755762879508065
GCC.MD.Z	0.62860695454631	1	0.963862519223584	0.918351180695851	0.677586880724106	0.932225893908252	0.912901798963809	0.909279759252945	0.683630742487724	0.936180548157948	0.927310991075806	0.891742118769408	0.778273825702975	0.754149013512453	0.915406197753892	0.902270252166035	0.893149043427784	0.882708476503911	0.869051568215071	0.857016814869805	0.789765113434551	0.78815748017704	0.898019299432954	0.884172143977433	0.873520011417729	0.857150662335389	0.850085517896931	0.862871768367413	0.738209266114346	0.746548994850088	0.896527366923172	0.900711441507179	0.884345674945801	0.881511495306334	0.889905890995625	0.887468443790427	0.697602964162812	0.694959677322926	0.928627740343959	0.92378852998817	0.923004823939175	0.914530603360748	0.880700797217956	0.890562723623859
GCC.RD.Z	0.533641121324239	0.963862519223584	1	0.825165526429439	0.629187387106124	0.920689115640271	0.923178125609653	0.871135577400648	0.644841264010129	0.90257409631648	0.925501151073139	0.846580045068897	0.75580308204158	0.734968187513092	0.875418211599881	0.867244148584881	0.877065345658908	0.867361619852826	0.819243050270916	0.820421820767457	0.775165773047496	0.772573220616608	0.861779724567998	0.849320499801599	0.857343114015786	0.840149930204696	0.809543835120459	0.826414489417494	0.734219945050247	0.74045642088882	0.869490785800287	0.868371253068481	0.856778722133462	0.853988599090956	0.866619765866147	0.860768420760038	0.693109769259017	0.685009850514468	0.896822886128731	0.894418978430711	0.897129257806666	0.89223873174165	0.850649481939709	0.8609718254951
GCC.AD.Z	0.777046390318706	0.918351180695851	0.825165526429439	1	0.743214348262118	0.867660866160615	0.829414246997655	0.928738977889517	0.739103238697754	0.881035700370776	0.858240868406649	0.898352277623601	0.796004436138577	0.778479153643361	0.888513375590465	0.873619070459909	0.848791533071784	0.835150072091977	0.873925102893621	0.858077518239837	0.816513745741469	0.817910693478609	0.863569792663814	0.852391934698473	0.823975140138186	0.804676035164128	0.852085705150155	0.865828566025159	0.770854289017887	0.7819329871348	0.846148149261234	0.855719995882516	0.842318824350748	0.825845365635919	0.839807158925839	0.865893504065319	0.740996132325706	0.743743084308198	0.867915941505471	0.863727150892153	0.854805347840132	0.847505879108693	0.846238235242859	0.854815673169112
BCC.FA.Z	0.905688417060533	0.677586880724106	0.629187387106124	0.743214348262118	1	0.622489618626103	0.567040781520405	0.781085312859735	0.901984782894573	0.717001983876849	0.689092280147209	0.762650946953684	0.850121537096713	0.839508228094153	0.779460807374622	0.763063612609782	0.755914025825495	0.738785565264805	0.818203662473498	0.813009495147112	0.800487341696186	0.788446862231903	0.789751281039863	0.781917743025753	0.795544109195124	0.780471789623603	0.764576690369537	0.776824367770571	0.779915578603646	0.804321602290756	0.757980359351235	0.766950052844922	0.787792102871067	0.756291587012271	0.72052913904927	0.791139109393447	0.845649296485114	0.83784793989784	0.739153599042355	0.745938766993223	0.719932059921052	0.726884627448111	0.775589893572076	0.7884137223286
BCC.MD.Z	0.649160978133033	0.932225893908252	0.920689115640271	0.867660866160615	0.622489618626103	1	0.982797095898826	0.927232457949373	0.682572641710501	0.902111068350204	0.911710378510282	0.861781547537048	0.782088308787104	0.776776087829901	0.879380326057603	0.879555304006582	0.870961422269157	0.853396223346139	0.835709493111104	0.855478142002515	0.801174724697586	0.806532867997758	0.881170411599727	0.871468638375967	0.859977609151276	0.840412504771036	0.847891070543364	0.873559232637078	0.764756641564235	0.758511968532585	0.87768199828953	0.869129746579812	0.872633887803643	0.858651664776243	0.872136454536371	0.855870452961355	0.717416757959131	0.715551019718612	0.906818624869393	0.900894254876176	0.898977744647009	0.894303987145334	0.868580389806546	0.870667506198712
BCC.RD.Z	0.614164354271989	0.912901798963809	0.923178125609653	0.829414246997655	0.567040781520405	0.982797095898826	1	0.875853159953663	0.653069029501398	0.877885851547904	0.901682766854207	0.833330019980971	0.759753971383754	0.75467436667111	0.856783839499511	0.858918193892559	0.861222218421585	0.844863532627137	0.803069450835859	0.826698255850344	0.78802024239242	0.789067137387457	0.858351784014939	0.850567927330076	0.845248605198958	0.82913902660456	0.823887546055875	0.850469077235705	0.768456009545615	0.754032895842177	0.846368760864622	0.838755649740464	0.840705131709293	0.831382317855606	0.84713916947791	0.83420099964999	0.700136142469865	0.704305695916714	0.882666685810811	0.876810790747601	0.880231059299892	0.872979467589283	0.841410218080622	0.846764628927744
BCC.AD.Z	0.767642808147015	0.909279759252945	0.871135577400648	0.928738977889517	0.781085312859735	0.927232457949373	0.875853159953663	1	0.782104127958679	0.901695078309712	0.893253764798063	0.910269653305032	0.844416454094627	0.824316966298121	0.901398486937835	0.890194488542155	0.87421383706455	0.860543173332216	0.886118247392056	0.883757996010096	0.863858522332938	0.864514819750913	0.898024728509436	0.886724379008279	0.859773833590075	0.83951447479067	0.892469983401071	0.909708331658341	0.806252146774945	0.809591639024299	0.891729787365617	0.886936111258857	0.888369071721452	0.870023098458236	0.885973074430404	0.891824362155214	0.812371327093749	0.797806258787443	0.893588108871652	0.892325114847502	0.87249864111297	0.875842089507454	0.890028531082974	0.89103871766045
SCC.FA.Z	0.890441761847443	0.683630742487724	0.644841264010129	0.739103238697754	0.901984782894573	0.682572641710501	0.653069029501398	0.782104127958679	1	0.65750416946984	0.609497754128532	0.774989209426438	0.850604757506227	0.838270568096021	0.760097213064735	0.74284487267277	0.74682873652952	0.729656538678696	0.804989382770262	0.795754300032431	0.837834181472578	0.832560509106122	0.767128582396295	0.764315152918314	0.76699670641534	0.748018601923819	0.771645297389578	0.798914849834543	0.820841597506709	0.828751649291026	0.704242731836736	0.715125118691946	0.744627017994435	0.718678601463702	0.676611036918114	0.748825607754732	0.852345840248672	0.867713870565649	0.709568021496238	0.714064206712555	0.69806535357412	0.693169421352448	0.741142854951275	0.765375161247593
SCC.MD.Z	0.677249271930746	0.936180548157948	0.90257409631648	0.881035700370776	0.717001983876849	0.902111068350204	0.877885851547904	0.901695078309712	0.65750416946984	1	0.968998480219841	0.931724292294513	0.800693966952691	0.766157262077246	0.912822150055822	0.910598187512413	0.877850296314221	0.876060473375365	0.878990425059632	0.872064313482145	0.766715494225132	0.759887780247567	0.913146535046271	0.904951906257625	0.894756079940864	0.884855686653896	0.848274846721226	0.856468846214964	0.720395925090378	0.734913570434	0.933677010212528	0.932627522486979	0.918593486198977	0.90596660378882	0.913789977982239	0.912330543233085	0.722044144829403	0.698684479865889	0.943600864401153	0.943130804421086	0.920353503695143	0.926360020875974	0.917040280275935	0.917336589376694
