GCC.FA.Z	GCC.MD.Z	GCC.RD.Z	GCC.AD.Z	BCC.FA.Z	BCC.MD.Z	BCC.RD.Z	BCC.AD.Z	SCC.FA.Z	SCC.MD.Z	SCC.RD.Z	SCC.AD.Z	rALIC.FA.Z	lALIC.FA.Z	rALIC.MD.Z	lALIC.MD.Z	rALIC.RD.Z	lALIC.RD.Z	rALIC.AD.Z	lALIC.AD.Z	rPLIC.FA.Z	lPLIC.FA.Z	rPLIC.MD.Z	lPLIC.MD.Z	rPLIC.RD.Z	lPLIC.RD.Z	rPLIC.AD.Z	lPLIC.AD.Z	rRLIC.FA.Z	lRLIC.FA.Z	rRLIC.MD.Z	lRLIC.MD.Z	rRLIC.RD.Z	lRLIC.RD.Z	rRLIC.AD.Z	lRLIC.AD.Z	rSLF.FA.Z	lSLF.FA.Z	rSLF.MD.Z	lSLF.MD.Z	rSLF.RD.Z	lSLF.RD.Z	rSLF.AD.Z	lSLF.AD.Z
SCC.RD.Z	0.650950704175681	0.927310991075806	0.925501151073139	0.858240868406649	0.689092280147209	0.911710378510282	0.901682766854207	0.893253764798063	0.609497754128532	0.968998480219841	1	0.865086812636877	0.779004348184195	0.75682121025779	0.905868996059588	0.907442745318579	0.895834460089945	0.888340628675192	0.845327017958657	0.85625907906497	0.768122292192957	0.757878913100837	0.897242784870609	0.892203974662384	0.894440475314698	0.885929542666135	0.823861053685548	0.839198659137745	0.74163946649001	0.750246610193734	0.92033236068326	0.91530096205335	0.904212289194245	0.891262772698503	0.909709937798188	0.902685971442801	0.722748853603751	0.701662879215557	0.927384591880415	0.928699260965855	0.91345006665426	0.918493158158544	0.897025792400057	0.900638726480733
SCC.AD.Z	0.739285890881295	0.891742118769408	0.846580045068897	0.898352277623601	0.762650946953684	0.861781547537048	0.833330019980971	0.910269653305032	0.774989209426438	0.931724292294513	0.865086812636877	1	0.837114805466278	0.800667097896159	0.875142554224076	0.85745595484655	0.831947501338066	0.823314785317937	0.887175869776963	0.856060031670277	0.836128113980548	0.834047895786573	0.866698898380387	0.851940046299183	0.830531834612697	0.812771383505841	0.867199455888303	0.867821766374253	0.777479796128423	0.79306222533691	0.856560012101268	0.861909421734662	0.853731401416771	0.833915638876399	0.851951930101055	0.878226418804582	0.790730900547264	0.779004525943325	0.866186125365294	0.86404145976256	0.840065895054113	0.842086589999889	0.866762034226281	0.869510951861347
rALIC.FA.Z	0.816226153733512	0.778273825702975	0.75580308204158	0.796004436138577	0.850121537096713	0.782088308787104	0.759753971383754	0.844416454094627	0.850604757506227	0.800693966952691	0.779004348184195	0.837114805466278	1	0.918515857860573	0.785463615795197	0.784551215420494	0.704601358613163	0.72505162397035	0.916825282723439	0.88497384942025	0.90083965954342	0.881963118665796	0.805891188937312	0.786355004854582	0.780064239315749	0.763992560416416	0.854881292824491	0.846252859498094	0.852137997934826	0.871936877342824	0.779851152640802	0.785846260451082	0.799064110289042	0.762773432087555	0.76591167280956	0.840720936013885	0.849016479951235	0.858300419831345	0.794322717021623	0.788897636543892	0.778192940824178	0.769658813857923	0.811347216682037	0.822036860265748
lALIC.FA.Z	0.819677451786776	0.754149013512453	0.734968187513092	0.778479153643361	0.839508228094153	0.776776087829901	0.75467436667111	0.824316966298121	0.838270568096021	0.766157262077246	0.75682121025779	0.800667097896159	0.918515857860573	1	0.767157192133579	0.733243658046452	0.725250280474478	0.64081116692002	0.85406855008323	0.9166055207108	0.883010469701953	0.888024527494028	0.796916519147309	0.762032774751673	0.773684885302172	0.734265719246866	0.842118261771593	0.842058442819684	0.859286889053047	0.871923057338438	0.756034284084724	0.746001046102217	0.783465191771129	0.727162488630347	0.731338027583944	0.801413003014978	0.831057996479013	0.862691568471628	0.773559458732664	0.76550683989658	0.76415011863585	0.744743399126758	0.783330500119511	0.803600188703299
rALIC.MD.Z	0.762998381181103	0.915406197753892	0.875418211599881	0.888513375590465	0.779460807374622	0.879380326057603	0.856783839499511	0.901398486937835	0.760097213064735	0.912822150055822	0.905868996059588	0.875142554224076	0.785463615795197	0.767157192133579	1	0.959763128653723	0.964715862976895	0.934249112616834	0.923270273905303	0.888825066037611	0.774129581847963	0.766274013013555	0.946142063402544	0.940751128064024	0.936872384816542	0.927959287501419	0.852623402535972	0.873814056532644	0.750217030307086	0.757414989624662	0.923945126378263	0.923732597262201	0.925392172497979	0.914478199231718	0.892141287549288	0.897780119871919	0.764738342397086	0.742023782607303	0.926371337146983	0.926192664820858	0.912592547606033	0.914710642275287	0.904308258851383	0.906324819384932
lALIC.MD.Z	0.752604972202873	0.902270252166035	0.867244148584881	0.873619070459909	0.763063612609782	0.879555304006582	0.858918193892559	0.890194488542155	0.74284487267277	0.910598187512413	0.907442745318579	0.85745595484655	0.784551215420494	0.733243658046452	0.959763128653723	1	0.932452971252968	0.961478771712283	0.893758431635886	0.901740501240031	0.751073287121008	0.737827430444079	0.93555105912442	0.949706239658836	0.937702446039078	0.938017841172283	0.833583556775938	0.867454567160048	0.741907625393133	0.741706916727176	0.931648911632242	0.937166893965056	0.9326879591313	0.921965092018308	0.896291013836714	0.902889468046397	0.751760440579713	0.731998334747729	0.923358327522379	0.93512976907352	0.908398504134219	0.918805269345971	0.900013837533767	0.915534541374468
rALIC.RD.Z	0.745367946126485	0.893149043427784	0.877065345658908	0.848791533071784	0.755914025825495	0.870961422269157	0.861222218421585	0.87421383706455	0.74682873652952	0.877850296314221	0.895834460089945	0.831947501338066	0.704601358613163	0.725250280474478	0.964715862976895	0.932452971252968	1	0.948771572228253	0.822608135471937	0.830385572709791	0.752251955446324	0.746576193015764	0.917077710096601	0.924063468229895	0.93426330428006	0.928292903728944	0.801808509649062	0.843169948831167	0.75012560904527	0.745002132599225	0.898672915486863	0.895787830969056	0.902621848700427	0.900472135258981	0.873485665066216	0.860867001676252	0.754234560625394	0.735816387533517	0.899713759893341	0.904771942334764	0.894168424604069	0.899764199807868	0.876068658701866	0.883997898433308
lALIC.RD.Z	0.722214991721586	0.882708476503911	0.867361619852826	0.835150072091977	0.738785565264805	0.853396223346139	0.844863532627137	0.860543173332216	0.729656538678696	0.876060473375365	0.888340628675192	0.823314785317937	0.72505162397035	0.64081116692002	0.934249112616834	0.961478771712283	0.948771572228253	1	0.823112467041715	0.791109166294425	0.726413684102406	0.705254639083005	0.898203930983895	0.923894141549607	0.922805512909124	0.934660215979125	0.775016228553705	0.819902590798361	0.719950064740821	0.717890271814124	0.898727558435119	0.910769257991607	0.896367240517633	0.909197260432001	0.878420033539814	0.869124243332902	0.738782654708605	0.707483580201076	0.892031623688447	0.90687799637006	0.883119192899681	0.900314899840655	0.869104481130175	0.881946612370701
rALIC.AD.Z	0.786755215052981	0.869051568215071	0.819243050270916	0.873925102893621	0.818203662473498	0.835709493111104	0.803069450835859	0.886118247392056	0.804989382770262	0.878990425059632	0.845327017958657	0.887175869776963	0.916825282723439	0.85406855008323	0.923270273905303	0.893758431635886	0.822608135471937	0.823112467041715	1	0.92375771131323	0.834440480275212	0.825978450734464	0.896719912566195	0.871531032990065	0.862232891677758	0.841792638057571	0.879683399421592	0.875158040738031	0.776652185936087	0.807827979363532	0.869349628732695	0.872855876255049	0.881204910298645	0.847817005953082	0.834247879582712	0.888368481322095	0.794264662583169	0.789040148228689	0.880030501647828	0.873652829657975	0.861683681768257	0.85441184421591	0.871333010677438	0.87632733685468
lALIC.AD.Z	0.793695118451973	0.857016814869805	0.820421820767457	0.858077518239837	0.813009495147112	0.855478142002515	0.826698255850344	0.883757996010096	0.795754300032431	0.872064313482145	0.85625907906497	0.856060031670277	0.88497384942025	0.9166055207108	0.888825066037611	0.901740501240031	0.830385572709791	0.791109166294425	0.92375771131323	1	0.831284556040899	0.834305177813785	0.900222849700122	0.881571851620375	0.874822546880929	0.847237242188748	0.878383638536593	0.890844414598848	0.80492809820874	0.813526212624055	0.874097442318942	0.871598705859728	0.893406184004069	0.848197463346819	0.827336892720787	0.878578148019811	0.796743904903333	0.807200848164542	0.88000606755334	0.881685573281768	0.864023430770714	0.857071503676979	0.870853272830755	0.890412309555565
rPLIC.FA.Z	0.799355887713608	0.789765113434551	0.775165773047496	0.816513745741469	0.800487341696186	0.801174724697586	0.78802024239242	0.863858522332938	0.837834181472578	0.766715494225132	0.768122292192957	0.836128113980548	0.90083965954342	0.883010469701953	0.774129581847963	0.751073287121008	0.752251955446324	0.726413684102406	0.834440480275212	0.831284556040899	1	0.972276413099869	0.764493815406561	0.749803622274503	0.69436554733008	0.684536924257147	0.90636500199946	0.895026226278926	0.897069524727785	0.906050851276677	0.727757727024414	0.736280506553215	0.739338756695528	0.708408249081895	0.751206255447	0.825296408577259	0.866376805065831	0.876245763927815	0.752098243552425	0.754388301323955	0.741945648425719	0.739115249838527	0.776923670243382	0.796556315261052
lPLIC.FA.Z	0.790224385589862	0.78815748017704	0.772573220616608	0.817910693478609	0.788446862231903	0.806532867997758	0.789067137387457	0.864514819750913	0.832560509106122	0.759887780247567	0.757878913100837	0.834047895786573	0.881963118665796	0.888024527494028	0.766274013013555	0.737827430444079	0.746576193015764	0.705254639083005	0.825978450734464	0.834305177813785	0.972276413099869	1	0.771814320655168	0.73465462618033	0.704137708738251	0.649043940667011	0.896279994227426	0.91323147059618	0.883688457493367	0.907804754039886	0.732798142074058	0.728784182119879	0.742624525582132	0.69416168846982	0.752023678403113	0.823925415369102	0.856895095679234	0.87368828443025	0.756558816688167	0.749656446473696	0.742341539193555	0.731921588815272	0.780821862854345	0.793159459875368
rPLIC.MD.Z	0.766496060939769	0.898019299432954	0.861779724567998	0.863569792663814	0.789751281039863	0.881170411599727	0.858351784014939	0.898024728509436	0.767128582396295	0.913146535046271	0.897242784870609	0.866698898380387	0.805891188937312	0.796916519147309	0.946142063402544	0.93555105912442	0.917077710096601	0.898203930983895	0.896719912566195	0.900222849700122	0.764493815406561	0.771814320655168	1	0.970173134424963	0.962366561831484	0.931729245105866	0.905459465760464	0.911456919071875	0.751516629335441	0.7607763377416	0.951409348951219	0.938014822124038	0.948743499523927	0.921016832839882	0.909986672931193	0.917839953520343	0.763512340188365	0.752577921306889	0.945713718237636	0.937225863515751	0.923939801410192	0.922741141175392	0.928365972470906	0.921048854193523
lPLIC.MD.Z	0.768724260489396	0.884172143977433	0.849320499801599	0.852391934698473	0.781917743025753	0.871468638375967	0.850567927330076	0.886724379008279	0.764315152918314	0.904951906257625	0.892203974662384	0.851940046299183	0.786355004854582	0.762032774751673	0.940751128064024	0.949706239658836	0.924063468229895	0.923894141549607	0.871531032990065	0.881571851620375	0.749803622274503	0.73465462618033	0.970173134424963	1	0.951624011085234	0.962133465374938	0.866815429802211	0.908244630711287	0.740851355012293	0.731717454844718	0.93603871047813	0.942557751213514	0.936279359042853	0.936082959166803	0.896559741331565	0.900988437885207	0.754626397131816	0.726440001889433	0.931230320348064	0.94073155195433	0.917313973174236	0.930541698115767	0.907194677283162	0.914697632956035
rPLIC.RD.Z	0.762677816651502	0.873520011417729	0.857343114015786	0.823975140138186	0.795544109195124	0.859977609151276	0.845248605198958	0.859773833590075	0.76699670641534	0.894756079940864	0.894440475314698	0.830531834612697	0.780064239315749	0.773684885302172	0.936872384816542	0.937702446039078	0.93426330428006	0.922805512909124	0.862232891677758	0.874822546880929	0.69436554733008	0.704137708738251	0.962366561831484	0.951624011085234	1	0.972837597501093	0.789768370176063	0.828524966802129	0.734105980303417	0.739908182732911	0.938969593021852	0.927734929799601	0.946369412455169	0.928310316697104	0.887442116486148	0.880870150136129	0.753094571113284	0.743632252961936	0.928055800839828	0.926779194597606	0.916051286263794	0.916361414044662	0.902271903075679	0.906365431879949
lPLIC.RD.Z	0.75097381174246	0.857150662335389	0.840149930204696	0.804676035164128	0.780471789623603	0.840412504771036	0.82913902660456	0.83951447479067	0.748018601923819	0.884855686653896	0.885929542666135	0.812771383505841	0.763992560416416	0.734265719246866	0.927959287501419	0.938017841172283	0.928292903728944	0.934660215979125	0.841792638057571	0.847237242188748	0.684536924257147	0.649043940667011	0.931729245105866	0.962133465374938	0.972837597501093	1	0.767678900548148	0.79839745564622	0.716835193677026	0.702891247099862	0.915793832984546	0.921658118186455	0.923807330586657	0.933134832817913	0.869749142432025	0.857551815395402	0.732220751075973	0.709504856799019	0.909841809724046	0.919854062890608	0.90230772970277	0.913179746738905	0.880813082375663	0.891828622634688
rPLIC.AD.Z	0.757230302582389	0.850085517896931	0.809543835120459	0.852085705150155	0.764576690369537	0.847891070543364	0.823887546055875	0.892469983401071	0.771645297389578	0.848274846721226	0.823861053685548	0.867199455888303	0.854881292824491	0.842118261771593	0.852623402535972	0.833583556775938	0.801808509649062	0.775016228553705	0.879683399421592	0.878383638536593	0.90636500199946	0.896279994227426	0.905459465760464	0.866815429802211	0.789768370176063	0.767678900548148	1	0.956822431940459	0.810063362361237	0.816636959116858	0.846916176537578	0.844333446986539	0.840781567849018	0.805583374444416	0.842277972681834	0.891444180799363	0.785393520081882	0.786919868558444	0.8629300732181	0.8542594020785	0.838572844264007	0.835711447221031	0.867315005402038	0.863922707639849
lPLIC.AD.Z	0.785439989187173	0.862871768367413	0.826414489417494	0.865828566025159	0.776824367770571	0.873559232637078	0.850469077235705	0.909708331658341	0.798914849834543	0.856468846214964	0.839198659137745	0.867821766374253	0.846252859498094	0.842058442819684	0.873814056532644	0.867454567160048	0.843169948831167	0.819902590798361	0.875158040738031	0.890844414598848	0.895026226278926	0.91323147059618	0.911456919071875	0.908244630711287	0.828524966802129	0.79839745564622	0.956822431940459	1	0.826877788234249	0.829805701469557	0.864358188292327	0.864754435094514	0.864021975489799	0.833175462865693	0.852762085756447	0.899677879721338	0.809670512252247	0.799998498043861	0.876756540060806	0.876857723995076	0.857351895059792	0.862225785826371	0.877113243765732	0.880078598462215
rRLIC.FA.Z	0.802373540544404	0.738209266114346	0.734219945050247	0.770854289017887	0.779915578603646	0.764756641564235	0.768456009545615	0.806252146774945	0.820841597506709	0.720395925090378	0.74163946649001	0.777479796128423	0.852137997934826	0.859286889053047	0.750217030307086	0.741907625393133	0.75012560904527	0.719950064740821	0.776652185936087	0.80492809820874	0.897069524727785	0.883688457493367	0.751516629335441	0.740851355012293	0.734105980303417	0.716835193677026	0.810063362361237	0.826877788234249	1	0.941801818819128	0.681634835390339	0.689354159783798	0.683071979028643	0.642902720041235	0.70768685597809	0.811737877426524	0.885393136509489	0.884912269472747	0.709678346282076	0.709146788852013	0.686571919305288	0.690817077638465	0.758467509230932	0.764677659172689
lRLIC.FA.Z	0.81159386297188	0.746548994850088	0.74045642088882	0.7819329871348	0.804321602290756	0.758511968532585	0.754032895842177	0.809591639024299	0.828751649291026	0.734913570434	0.750246610193734	0.79306222533691	0.871936877342824	0.871923057338438	0.757414989624662	0.741706916727176	0.745002132599225	0.717890271814124	0.807827979363532	0.813526212624055	0.906050851276677	0.907804754039886	0.7607763377416	0.731717454844718	0.739908182732911	0.702891247099862	0.816636959116858	0.829805701469557	0.941801818819128	1	0.703982617603093	0.688465836627329	0.719304255787895	0.61731818583569	0.71107692343542	0.846425710962024	0.877394035495166	0.89753400218477	0.722016804187359	0.718378698728873	0.70631699285619	0.696498870029596	0.759389257962443	0.776927779459654
rRLIC.MD.Z	0.709760294711607	0.896527366923172	0.869490785800287	0.846148149261234	0.757980359351235	0.87768199828953	0.846368760864622	0.891729787365617	0.704242731836736	0.933677010212528	0.92033236068326	0.856560012101268	0.779851152640802	0.756034284084724	0.923945126378263	0.931648911632242	0.898672915486863	0.898727558435119	0.869349628732695	0.874097442318942	0.727757727024414	0.732798142074058	0.951409348951219	0.93603871047813	0.938969593021852	0.915793832984546	0.846916176537578	0.864358188292327	0.681634835390339	0.703982617603093	1	0.97144812120879	0.98058910886438	0.949393555748091	0.959004524134414	0.926520752915774	0.714709961616724	0.69564773940484	0.96190669301822	0.958335880090478	0.9397594487846	0.944319381481354	0.933380791492009	0.926728473779199
lRLIC.MD.Z	0.7158786832829	0.900711441507179	0.868371253068481	0.855719995882516	0.766950052844922	0.869129746579812	0.838755649740464	0.886936111258857	0.715125118691946	0.932627522486979	0.91530096205335	0.861909421734662	0.785846260451082	0.746001046102217	0.923732597262201	0.937166893965056	0.895787830969056	0.910769257991607	0.872855876255049	0.871598705859728	0.736280506553215	0.728784182119879	0.938014822124038	0.942557751213514	0.927734929799601	0.921658118186455	0.844333446986539	0.864754435094514	0.689354159783798	0.688465836627329	0.97144812120879	1	0.954272337530618	0.974629034932469	0.938865247002579	0.939325154421205	0.717813585524546	0.688337269586342	0.955539792003675	0.969235491491819	0.934151095563354	0.952542939082494	0.926466070320035	0.937050021582751
rRLIC.RD.Z	0.744282323865088	0.884345674945801	0.856778722133462	0.842318824350748	0.787792102871067	0.872633887803643	0.840705131709293	0.888369071721452	0.744627017994435	0.918593486198977	0.904212289194245	0.853731401416771	0.799064110289042	0.783465191771129	0.925392172497979	0.9326879591313	0.902621848700427	0.896367240517633	0.881204910298645	0.893406184004069	0.739338756695528	0.742624525582132	0.948743499523927	0.936279359042853	0.946369412455169	0.923807330586657	0.840781567849018	0.864021975489799	0.683071979028643	0.719304255787895	0.98058910886438	0.954272337530618	1	0.945071600597856	0.898908687984045	0.903395289595627	0.733544364511874	0.72233036043107	0.951997291535049	0.949776546571088	0.935722339566902	0.936143561797408	0.924234790885714	0.923724569238908
lRLIC.RD.Z	0.708936748407819	0.881511495306334	0.853988599090956	0.825845365635919	0.756291587012271	0.858651664776243	0.831382317855606	0.870023098458236	0.718678601463702	0.90596660378882	0.891262772698503	0.833915638876399	0.762773432087555	0.727162488630347	0.914478199231718	0.921965092018308	0.900472135258981	0.909197260432001	0.847817005953082	0.848197463346819	0.708408249081895	0.69416168846982	0.921016832839882	0.936082959166803	0.928310316697104	0.933134832817913	0.805583374444416	0.833175462865693	0.642902720041235	0.61731818583569	0.949393555748091	0.974629034932469	0.945071600597856	1	0.910453399807421	0.860159473588183	0.691310478642924	0.666545535145691	0.937329783196103	0.94853487464133	0.92698599860961	0.939972120348318	0.897144196696208	0.90891479447308
rRLIC.AD.Z	0.681337606847502	0.889905890995625	0.866619765866147	0.839807158925839	0.72052913904927	0.872136454536371	0.84713916947791	0.885973074430404	0.676611036918114	0.913789977982239	0.909709937798188	0.851951930101055	0.76591167280956	0.731338027583944	0.892141287549288	0.896291013836714	0.873485665066216	0.878420033539814	0.834247879582712	0.827336892720787	0.751206255447	0.752023678403113	0.909986672931193	0.896559741331565	0.887442116486148	0.869749142432025	0.842277972681834	0.852762085756447	0.70768685597809	0.71107692343542	0.959004524134414	0.938865247002579	0.898908687984045	0.910453399807421	1	0.917358372477993	0.709807870138462	0.693638004359768	0.923809047163195	0.920568021260557	0.90228550692949	0.906819534223802	0.898318598310761	0.895517351849567
lRLIC.AD.Z	0.749062950904169	0.887468443790427	0.860768420760038	0.865893504065319	0.791139109393447	0.855870452961355	0.83420099964999	0.891824362155214	0.748825607754732	0.912330543233085	0.902685971442801	0.878226418804582	0.840720936013885	0.801413003014978	0.897780119871919	0.902889468046397	0.860867001676252	0.869124243332902	0.888368481322095	0.878578148019811	0.825296408577259	0.823925415369102	0.917839953520343	0.900988437885207	0.880870150136129	0.857551815395402	0.891444180799363	0.899677879721338	0.811737877426524	0.846425710962024	0.926520752915774	0.939325154421205	0.903395289595627	0.860159473588183	0.917358372477993	1	0.796787831026143	0.774149758416178	0.91456034878956	0.924120899352799	0.884027816647203	0.900019709974344	0.918168695289432	0.925790691617923
